"#""Step""",Potential Energy (kJ/mole),Kinetic Energy (kJ/mole),Total Energy (kJ/mole),Temperature (K),Density (g/mL),,
8600,-977741.0434,197154.8994,-780586.1441,299.3461463,0.968163616,,
8700,-977613.7092,197135.6994,-780478.0099,299.3169943,0.968163616,,
8800,-976930.4647,195830.8168,-781099.6479,297.3357523,0.968163616,,
8900,-977821.3125,196716.2574,-781105.0552,298.680143,0.968163616,,
9000,-978157.9044,196601.7181,-781556.1862,298.5062347,0.968163616,,
9100,-978413.0285,197138.2811,-781274.7473,299.3209142,0.968163616,,
9200,-978134.4884,196712.1864,-781422.302,298.673962,0.968163616,,
9300,-977660.0534,196769.2292,-780890.8242,298.7605718,0.968163616,,
9400,-977877.2888,197877.7044,-779999.5844,300.4436026,0.968163616,,
9500,-977169.6252,197089.9501,-780079.6751,299.2475318,0.968163616,,
9600,-977293.8102,197212.6069,-780081.2033,299.4337653,0.968163616,,
9700,-976506.0672,196526.6097,-779979.4575,298.3921954,0.968163616,,
9800,-976541.2491,197147.1602,-779394.089,299.3343956,0.968163616,,
9900,-976587.8631,196838.1133,-779749.7498,298.8651606,0.968163616,,
10000,-977825.9866,197610.6114,-780215.3751,300.0380674,0.968163616,,
10100,-977638.5361,197343.6137,-780294.9225,299.6326768,0.968163616,,
10200,-978011.2669,197327.3329,-780683.934,299.6079572,0.968163616,,
10300,-978497.7973,197017.7291,-781480.0682,299.1378766,0.968163616,,
10400,-977806.8601,196270.4861,-781536.374,298.0033153,0.968163616,,
10500,-977497.4197,195719.0916,-781778.3281,297.1661166,0.968163616,,
10600,-978569.0521,197301.6793,-781267.3727,299.5690066,0.968163616,,
10700,-979118.4912,197702.9199,-781415.5713,300.1782221,0.968163616,,
10800,-977798.2648,196303.921,-781494.3438,298.0540804,0.968163616,,
10900,-978447.2959,197365.679,-781081.6169,299.6661792,0.968163616,,
11000,-978923.3637,197334.0327,-781589.3309,299.6181298,0.968163616,,
11100,-977970.3362,196539.9936,-781430.3425,298.4125166,0.968163616,,
11200,-977921.7254,196854.2343,-781067.4911,298.8896375,0.968163616,,
11300,-977260.583,196468.5217,-780792.0613,298.3039986,0.968163616,,
11400,-977957.6364,197412.6644,-780544.972,299.7375185,0.968163616,,
11500,-978583.3374,197652.484,-780930.8535,300.1016437,0.968163616,,
